ID,DATE,ELEMENT,DATA_VALUE,M_FLAG,Q_FLAG,S_FLAG,OBS_TIME,Year
USW00023174,20000101,TMAX,144,,,0,2400.0,2000
USW00023174,20000101,TMIN,78,,,0,2400.0,2000
USW00023174,20000101,PRCP,0,,,0,2400.0,2000
USW00023174,20000101,AWND,24,,,X,,2000
USW00023174,20000101,FMTM,2324,,,X,,2000
USW00023174,20000101,PGTM,2240,,,W,,2000
USW00023174,20000101,TAVG,111,,,W,,2000
USW00023174,20000101,WDF2,270,,,X,,2000
USW00023174,20000101,WDF5,280,,,X,,2000
USW00023174,20000101,WESD,0,,,0,,2000
USW00023174,20000101,WSF2,72,,,X,,2000
USW00023174,20000101,WSF5,94,,,X,,2000
USW00023174,20000101,WT01,1,,,0,,2000
USW00023174,20000101,WT08,1,,,0,,2000
USW00023174,20000101,WT13,1,,,X,,2000
USC00042319,20000101,TMAX,167,,,0,800.0,2000
USC00042319,20000101,TMIN,17,,,0,800.0,2000
USC00042319,20000101,TOBS,33,,,0,800.0,2000
USC00042319,20000101,PRCP,0,P,,0,800.0,2000
USC00042319,20000101,SNOW,0,P,,0,,2000
USC00042319,20000101,SNWD,0,P,,0,,2000
USC00042319,20000101,EVAP,10,,,0,800.0,2000
USC00042319,20000101,MNPN,-28,,X,0,,2000
USC00042319,20000101,MXPN,78,,,0,,2000
USC00042319,20000101,WDMV,2,,,0,,2000
USW00094728,20000101,TMAX,100,,,0,2400.0,2000
USW00094728,20000101,TMIN,11,,,0,2400.0,2000
USW00094728,20000101,PRCP,0,,,0,2400.0,2000
USW00094728,20000101,SNOW,0,,,0,,2000
USW00094728,20000101,SNWD,0,,,Z,,2000
USW00094728,20000101,AWND,26,,,X,,2000
USW00094728,20000101,FMTM,1337,,,X,,2000
USW00094728,20000101,PGTM,1337,,,W,,2000
USW00094728,20000101,TAVG,56,,,W,,2000
USW00094728,20000101,WDF2,250,,,X,,2000
USW00094728,20000101,WDF5,230,,,X,,2000
USW00094728,20000101,WSF2,72,,,X,,2000
USW00094728,20000101,WSF5,94,,,X,,2000
USW00094728,20000101,WT01,1,,,0,,2000
USW00094728,20000101,WT08,1,,,0,,2000
USW00094728,20000101,WT13,1,,,X,,2000
USW00023174,20000102,TMAX,156,,,0,2400.0,2000
USW00023174,20000102,TMIN,89,,,0,2400.0,2000
USW00023174,20000102,PRCP,0,,,0,2400.0,2000
USW00023174,20000102,AWND,54,,,X,,2000
USW00023174,20000102,FMTM,1441,,,X,,2000
USW00023174,20000102,PGTM,2310,,,W,,2000
USW00023174,20000102,TAVG,122,,,W,,2000
USW00023174,20000102,WDF2,260,,,X,,2000
USW00023174,20000102,WDF5,360,,,X,,2000
USW00023174,20000102,WESD,0,,,0,,2000
USW00023174,20000102,WSF2,103,,,X,,2000
USW00023174,20000102,WSF5,134,,,X,,2000
USC00042319,20000102,TMAX,183,,,0,800.0,2000
USC00042319,20000102,TMIN,22,,,0,800.0,2000
USC00042319,20000102,TOBS,128,,,0,800.0,2000
USC00042319,20000102,PRCP,0,P,,0,800.0,2000
USC00042319,20000102,SNOW,0,P,,0,,2000
USC00042319,20000102,SNWD,0,P,,0,,2000
USC00042319,20000102,EVAP,18,,,0,800.0,2000
USC00042319,20000102,MNPN,-11,,X,0,,2000
USC00042319,20000102,MXPN,100,,,0,,2000
USC00042319,20000102,WDMV,6,,,0,,2000
USW00094728,20000102,TMAX,156,,,0,2400.0,2000
USW00094728,20000102,TMIN,61,,,0,2400.0,2000
USW00094728,20000102,PRCP,0,,,0,2400.0,2000
USW00094728,20000102,SNOW,0,,,0,,2000
USW00094728,20000102,SNWD,0,,,Z,,2000
USW00094728,20000102,AWND,21,,,X,,2000
USW00094728,20000102,FMTM,2314,,,X,,2000
USW00094728,20000102,PGTM,2313,,,W,,2000
USW00094728,20000102,TAVG,111,,,W,,2000
USW00094728,20000102,WDF2,260,,,X,,2000
